,title,director ,writer,actors,gener,language,runtime,average,votes,link
4,飞奔去月球 Over the Moon,格兰·基恩,"['奥黛丽·威尔斯', 'Jennifer Yee McDevitt', '伍思薇']","['凯西·昂', '菲莉帕·苏', '罗伯特·邱', '郑肯', '约翰·赵', '吴珊卓']","['动画', '家庭', '冒险']", 英语 / 汉语普通话,2020-10-23(美国/中国大陆),6.0,6923,https://movie.douban.com/subject/30141681/
5,破坏者 Sabotage,大卫·阿耶,"['斯基普·伍兹', '大卫·阿耶']","['阿诺·施瓦辛格', '萨姆·沃辛顿', '乔·曼根尼罗', '乔什·哈洛威', '泰伦斯·霍华德', '马克斯·马蒂尼', '凯文·万斯', '米瑞·伊诺丝', '莫里斯·孔特', '马丁·唐文', '蒂姆·韦尔', '奥莉维亚·威廉姆斯']","['剧情', '动作', '惊悚', '犯罪']", 英语,2015-04-24(中国大陆),5.7,11779,https://movie.douban.com/subject/6875611/
6,一八九四·甲午大海战,冯小宁,['冯小宁'],"['陆毅', '夏雨', '杨立新', '孙海英', '龚洁', '吕丽萍', '郭家铭']","['剧情', '历史', '战争']", 汉语普通话 / 日语 / 英语,2012-07-06(中国大陆),5.6,9924,https://movie.douban.com/subject/6080772/
7,碟仙,廉涛,"['孙婉仪', '郭曦', '刘宗胜', '廉涛']","['黄奕', '范逸臣', '程小夏', '吴烨', '马卷卷', '刘晨霞', '曾韵蓁', '何佳颖', '张天柏', '鹿嘉豪']","['惊悚', '恐怖']", 汉语普通话,2019-06-21(中国大陆),4.9,6126,https://movie.douban.com/subject/27073079/
8,情敌蜜月,张林子,"['洪泠', '毕成功']","['张雨绮', '权相宇', '霍建华', '施予斐']","['喜剧', '爱情']", 汉语普通话 / 英语,2015-09-02(中国大陆),4.7,11305,https://movie.douban.com/subject/26163541/
9,笔仙Ⅱ,安兵基,"['韩钟敏', '韩景龙']","['朴寒星', '辛芷蕾', '高欣宇', '张皓然', '李昕岳', '章婷婷', '杨帆', '孙绍龙', '耿乐', '郭京飞', '李永波']","['悬疑', '惊悚']", 汉语普通话,2013-07-16(中国大陆),3.9,9996,https://movie.douban.com/subject/21618782/
10,灵语 靈語,苏皇铭,['林雅樱'],"['是元介', '吴可熙 Wu Ke-Hsi', '郑人硕', '杨丞琳', '禾浩辰', '石知田', '丁宁', '李国超']","['惊悚', '犯罪']", 汉语普通话,2021-10-22(中国台湾),3.7,762,https://movie.douban.com/subject/34852396/
11,泡沫之夏,赖俊羽,"['李佳颖', '明晓溪']","['黄灿灿', '罗子溢', '严禹豪', '林晖闵', '张国柱', '归亚蕾', '金燕玲', '九孔', '郎祖筠', '王冠逸', '陈雅丽']","['剧情', '爱情']", 汉语普通话,2016-07-21(中国大陆),2.7,8130,https://movie.douban.com/subject/25830800/
12,孤独的美食家 2021除夕特别篇 孤独のグルメ2021大晦日スペシャル～激走！絶景絶品・年忘れロードムービー,井川尊史,['田口佳宏'],"['松重丰', '小籔千豊', '梅泽昌代', '中尾明庆', '石野真子', '山本未来', '久住昌之']",[], 日语,2021-12-31(日本),9.1,3088,https://movie.douban.com/subject/35707837/
13,机动战士高达 THE ORIGIN Ⅵ 赤色彗星诞生 機動戦士ガンダム THE ORIGIN Ⅵ 誕生 赤い彗星,安彦良和,['隅沢克之'],"['池田秀一', '潘惠美', '银河万丈', '渡边明乃', '三宅健太', '古谷彻', '柿原彻也', '古川登志夫', '福圆美里', '大塚明夫', '浦山迅', '中西英树', '藤村步', '成田剑', '田中美央', '新井里美', '中博史', '山崎巧', '一条和矢', '松田健一郎', '土屋英史']","['科幻', '动画']", 日语,2018-05-05(日本),9.0,4765,https://movie.douban.com/subject/26920182/
